optimizer_type,learning_rate,momentum,weight_decay,batch_size,epochs,patience,model_type,rnn_type,num_layers,use_bidirectional,use_dropout,use_batch_norm,use_layer_norm,aggregation_method,hidden_size,output_size,freeze_embeddings,oov_handling_method,embedding_dim,glove_file_path,Epoch,Train Loss,Validation Accuracy,Test Accuracy
Adam,0.001,0.9,0.0001,32,100,10,RNN,RNN,3,False,True,True,True,last_hidden,64,2,False,none,100,glove.6B.100d.txt,12,0.7,50.19,49.62
Adam,0.001,0.9,0.0001,32,100,10,RNN,RNN,3,False,True,True,True,last_hidden,64,2,False,none,100,glove.6B.100d.txt,13,0.69,50.38,49.62
Adam,0.001,0.9,0.0001,32,100,10,RNN,RNN,3,False,True,True,True,last_hidden,64,2,False,none,100,glove.6B.100d.txt,14,0.7,50.38,49.62
Adam,0.001,0.9,0.0001,32,100,10,RNN,RNN,3,False,True,True,True,last_hidden,64,2,False,none,100,glove.6B.100d.txt,15,0.69,50.28,49.62
Adam,0.001,0.9,0.0001,32,100,10,RNN,RNN,3,False,True,True,True,last_hidden,64,2,False,none,100,glove.6B.100d.txt,16,0.69,50.28,49.62
Adam,0.001,0.9,0.0001,32,100,10,RNN,RNN,3,False,True,True,True,last_hidden,64,2,False,none,100,glove.6B.100d.txt,17,0.69,50.38,49.62
Adam,0.001,0.9,0.0001,32,100,10,RNN,RNN,3,False,True,True,True,last_hidden,64,2,False,none,100,glove.6B.100d.txt,18,0.69,49.81,49.62
Adam,0.001,0.9,0.0001,32,100,10,RNN,RNN,3,False,True,True,True,last_hidden,64,2,False,none,100,glove.6B.100d.txt,19,0.7,49.81,49.62
Adam,0.001,0.9,0.0001,32,100,10,RNN,RNN,3,False,True,True,True,last_hidden,128,2,False,none,100,glove.6B.100d.txt,1,0.72,49.72,49.81
Adam,0.001,0.9,0.0001,32,100,10,RNN,RNN,3,False,True,True,True,last_hidden,128,2,False,none,100,glove.6B.100d.txt,2,0.71,48.22,49.81
Adam,0.001,0.9,0.0001,32,100,10,RNN,RNN,3,False,True,True,True,last_hidden,128,2,False,none,100,glove.6B.100d.txt,3,0.7,50.47,49.81
Adam,0.001,0.9,0.0001,32,100,10,RNN,RNN,3,False,True,True,True,last_hidden,128,2,False,none,100,glove.6B.100d.txt,4,0.69,50.75,49.81
Adam,0.001,0.9,0.0001,32,100,10,RNN,RNN,3,False,True,True,True,last_hidden,128,2,False,none,100,glove.6B.100d.txt,5,0.7,50.09,49.81
Adam,0.001,0.9,0.0001,32,100,10,RNN,RNN,3,False,True,True,True,last_hidden,128,2,False,none,100,glove.6B.100d.txt,6,0.69,49.91,49.81
Adam,0.001,0.9,0.0001,32,100,10,RNN,RNN,3,False,True,True,True,last_hidden,128,2,False,none,100,glove.6B.100d.txt,7,0.7,50.09,49.81
Adam,0.001,0.9,0.0001,32,100,10,RNN,RNN,3,False,True,True,True,last_hidden,128,2,False,none,100,glove.6B.100d.txt,8,0.7,50.19,49.81
Adam,0.001,0.9,0.0001,32,100,10,RNN,RNN,3,False,True,True,True,last_hidden,128,2,False,none,100,glove.6B.100d.txt,9,0.7,50.28,49.81
Adam,0.001,0.9,0.0001,32,100,10,RNN,RNN,3,False,True,True,True,last_hidden,128,2,False,none,100,glove.6B.100d.txt,10,0.69,50.19,49.81
Adam,0.001,0.9,0.0001,32,100,10,RNN,RNN,3,False,True,True,True,last_hidden,128,2,False,none,100,glove.6B.100d.txt,11,0.69,50.28,49.81
Adam,0.001,0.9,0.0001,32,100,10,RNN,RNN,3,False,True,True,True,last_hidden,128,2,False,none,100,glove.6B.100d.txt,12,0.69,50.28,49.81
Adam,0.001,0.9,0.0001,32,100,10,RNN,RNN,3,False,True,True,True,last_hidden,128,2,False,none,100,glove.6B.100d.txt,13,0.69,50.19,49.81
Adam,0.001,0.9,0.0001,32,100,10,RNN,RNN,3,False,True,True,True,last_hidden,128,2,False,none,100,glove.6B.100d.txt,14,0.69,50.19,49.81
Adam,0.001,0.9,0.0001,64,100,10,RNN,RNN,1,False,True,True,True,last_hidden,64,2,False,none,100,glove.6B.100d.txt,1,0.73,50.0,49.91
Adam,0.001,0.9,0.0001,64,100,10,RNN,RNN,1,False,True,True,True,last_hidden,64,2,False,none,100,glove.6B.100d.txt,2,0.71,50.09,49.91
Adam,0.001,0.9,0.0001,64,100,10,RNN,RNN,1,False,True,True,True,last_hidden,64,2,False,none,100,glove.6B.100d.txt,3,0.7,50.0,49.91
Adam,0.001,0.9,0.0001,64,100,10,RNN,RNN,1,False,True,True,True,last_hidden,64,2,False,none,100,glove.6B.100d.txt,4,0.7,49.62,49.91
Adam,0.001,0.9,0.0001,64,100,10,RNN,RNN,1,False,True,True,True,last_hidden,64,2,False,none,100,glove.6B.100d.txt,5,0.7,50.28,49.91
Adam,0.001,0.9,0.0001,64,100,10,RNN,RNN,1,False,True,True,True,last_hidden,64,2,False,none,100,glove.6B.100d.txt,6,0.7,50.28,49.91
Adam,0.001,0.9,0.0001,64,100,10,RNN,RNN,1,False,True,True,True,last_hidden,64,2,False,none,100,glove.6B.100d.txt,7,0.7,50.19,49.91
Adam,0.001,0.9,0.0001,64,100,10,RNN,RNN,1,False,True,True,True,last_hidden,64,2,False,none,100,glove.6B.100d.txt,8,0.7,50.19,49.91
Adam,0.001,0.9,0.0001,64,100,10,RNN,RNN,1,False,True,True,True,last_hidden,64,2,False,none,100,glove.6B.100d.txt,9,0.7,50.19,49.91
Adam,0.001,0.9,0.0001,64,100,10,RNN,RNN,1,False,True,True,True,last_hidden,64,2,False,none,100,glove.6B.100d.txt,10,0.7,50.28,49.91
Adam,0.001,0.9,0.0001,64,100,10,RNN,RNN,1,False,True,True,True,last_hidden,64,2,False,none,100,glove.6B.100d.txt,11,0.69,50.28,49.91
Adam,0.001,0.9,0.0001,64,100,10,RNN,RNN,1,False,True,True,True,last_hidden,64,2,False,none,100,glove.6B.100d.txt,12,0.7,50.09,49.91
Adam,0.001,0.9,0.0001,64,100,10,RNN,RNN,1,False,True,True,True,last_hidden,64,2,False,none,100,glove.6B.100d.txt,13,0.7,50.09,49.91
Adam,0.001,0.9,0.0001,64,100,10,RNN,RNN,1,False,True,True,True,last_hidden,64,2,False,none,100,glove.6B.100d.txt,14,0.7,50.28,49.91
Adam,0.001,0.9,0.0001,64,100,10,RNN,RNN,1,False,True,True,True,last_hidden,64,2,False,none,100,glove.6B.100d.txt,15,0.7,50.19,49.91
Adam,0.001,0.9,0.0001,64,100,10,RNN,RNN,1,False,True,True,True,last_hidden,128,2,False,none,100,glove.6B.100d.txt,1,0.74,50.19,49.53
Adam,0.001,0.9,0.0001,64,100,10,RNN,RNN,1,False,True,True,True,last_hidden,128,2,False,none,100,glove.6B.100d.txt,2,0.71,50.0,49.53
Adam,0.001,0.9,0.0001,64,100,10,RNN,RNN,1,False,True,True,True,last_hidden,128,2,False,none,100,glove.6B.100d.txt,3,0.7,49.53,49.53
Adam,0.001,0.9,0.0001,64,100,10,RNN,RNN,1,False,True,True,True,last_hidden,128,2,False,none,100,glove.6B.100d.txt,4,0.7,49.72,49.53
Adam,0.001,0.9,0.0001,64,100,10,RNN,RNN,1,False,True,True,True,last_hidden,128,2,False,none,100,glove.6B.100d.txt,5,0.7,50.09,49.53
Adam,0.001,0.9,0.0001,64,100,10,RNN,RNN,1,False,True,True,True,last_hidden,128,2,False,none,100,glove.6B.100d.txt,6,0.7,50.09,49.53
Adam,0.001,0.9,0.0001,64,100,10,RNN,RNN,1,False,True,True,True,last_hidden,128,2,False,none,100,glove.6B.100d.txt,7,0.7,49.72,49.53
Adam,0.001,0.9,0.0001,64,100,10,RNN,RNN,1,False,True,True,True,last_hidden,128,2,False,none,100,glove.6B.100d.txt,8,0.7,49.44,49.53
Adam,0.001,0.9,0.0001,64,100,10,RNN,RNN,1,False,True,True,True,last_hidden,128,2,False,none,100,glove.6B.100d.txt,9,0.7,50.09,49.53
Adam,0.001,0.9,0.0001,64,100,10,RNN,RNN,1,False,True,True,True,last_hidden,128,2,False,none,100,glove.6B.100d.txt,10,0.7,50.0,49.53
Adam,0.001,0.9,0.0001,64,100,10,RNN,RNN,1,False,True,True,True,last_hidden,128,2,False,none,100,glove.6B.100d.txt,11,0.7,50.19,49.53
Adam,0.001,0.9,0.0001,64,100,10,RNN,RNN,2,False,True,True,True,last_hidden,64,2,False,none,100,glove.6B.100d.txt,1,0.72,50.09,49.25
Adam,0.001,0.9,0.0001,64,100,10,RNN,RNN,2,False,True,True,True,last_hidden,64,2,False,none,100,glove.6B.100d.txt,2,0.7,50.66,49.25
Adam,0.001,0.9,0.0001,64,100,10,RNN,RNN,2,False,True,True,True,last_hidden,64,2,False,none,100,glove.6B.100d.txt,3,0.7,50.19,49.25
Adam,0.001,0.9,0.0001,64,100,10,RNN,RNN,2,False,True,True,True,last_hidden,64,2,False,none,100,glove.6B.100d.txt,4,0.7,50.09,49.25
Adam,0.001,0.9,0.0001,64,100,10,RNN,RNN,2,False,True,True,True,last_hidden,64,2,False,none,100,glove.6B.100d.txt,5,0.7,50.09,49.25
Adam,0.001,0.9,0.0001,64,100,10,RNN,RNN,2,False,True,True,True,last_hidden,64,2,False,none,100,glove.6B.100d.txt,6,0.7,50.28,49.25
Adam,0.001,0.9,0.0001,64,100,10,RNN,RNN,2,False,True,True,True,last_hidden,64,2,False,none,100,glove.6B.100d.txt,7,0.7,50.28,49.25
Adam,0.001,0.9,0.0001,64,100,10,RNN,RNN,2,False,True,True,True,last_hidden,64,2,False,none,100,glove.6B.100d.txt,8,0.7,50.28,49.25
Adam,0.001,0.9,0.0001,64,100,10,RNN,RNN,2,False,True,True,True,last_hidden,64,2,False,none,100,glove.6B.100d.txt,9,0.7,50.38,49.25
Adam,0.001,0.9,0.0001,64,100,10,RNN,RNN,2,False,True,True,True,last_hidden,64,2,False,none,100,glove.6B.100d.txt,10,0.7,50.38,49.25
Adam,0.001,0.9,0.0001,64,100,10,RNN,RNN,2,False,True,True,True,last_hidden,64,2,False,none,100,glove.6B.100d.txt,11,0.7,50.28,49.25
Adam,0.001,0.9,0.0001,64,100,10,RNN,RNN,2,False,True,True,True,last_hidden,64,2,False,none,100,glove.6B.100d.txt,12,0.7,50.28,49.25
Adam,0.001,0.9,0.0001,64,100,10,RNN,RNN,2,False,True,True,True,last_hidden,128,2,False,none,100,glove.6B.100d.txt,1,0.73,49.81,50.28
Adam,0.001,0.9,0.0001,64,100,10,RNN,RNN,2,False,True,True,True,last_hidden,128,2,False,none,100,glove.6B.100d.txt,2,0.71,49.91,50.28
Adam,0.001,0.9,0.0001,64,100,10,RNN,RNN,2,False,True,True,True,last_hidden,128,2,False,none,100,glove.6B.100d.txt,3,0.7,50.28,50.28
Adam,0.001,0.9,0.0001,64,100,10,RNN,RNN,2,False,True,True,True,last_hidden,128,2,False,none,100,glove.6B.100d.txt,4,0.7,50.0,50.28
Adam,0.001,0.9,0.0001,64,100,10,RNN,RNN,2,False,True,True,True,last_hidden,128,2,False,none,100,glove.6B.100d.txt,5,0.7,50.09,50.28
Adam,0.001,0.9,0.0001,64,100,10,RNN,RNN,2,False,True,True,True,last_hidden,128,2,False,none,100,glove.6B.100d.txt,6,0.7,50.09,50.28
Adam,0.001,0.9,0.0001,64,100,10,RNN,RNN,2,False,True,True,True,last_hidden,128,2,False,none,100,glove.6B.100d.txt,7,0.7,50.0,50.28
Adam,0.001,0.9,0.0001,64,100,10,RNN,RNN,2,False,True,True,True,last_hidden,128,2,False,none,100,glove.6B.100d.txt,8,0.7,50.09,50.28
Adam,0.001,0.9,0.0001,64,100,10,RNN,RNN,2,False,True,True,True,last_hidden,128,2,False,none,100,glove.6B.100d.txt,9,0.7,49.91,50.28
Adam,0.001,0.9,0.0001,64,100,10,RNN,RNN,2,False,True,True,True,last_hidden,128,2,False,none,100,glove.6B.100d.txt,10,0.7,50.09,50.28
Adam,0.001,0.9,0.0001,64,100,10,RNN,RNN,2,False,True,True,True,last_hidden,128,2,False,none,100,glove.6B.100d.txt,11,0.7,50.19,50.28
Adam,0.001,0.9,0.0001,64,100,10,RNN,RNN,2,False,True,True,True,last_hidden,128,2,False,none,100,glove.6B.100d.txt,12,0.7,50.09,50.28
Adam,0.001,0.9,0.0001,64,100,10,RNN,RNN,2,False,True,True,True,last_hidden,128,2,False,none,100,glove.6B.100d.txt,13,0.7,50.19,50.28
Adam,0.001,0.9,0.0001,64,100,10,RNN,RNN,3,False,True,True,True,last_hidden,64,2,False,none,100,glove.6B.100d.txt,1,0.73,49.81,49.62
Adam,0.001,0.9,0.0001,64,100,10,RNN,RNN,3,False,True,True,True,last_hidden,64,2,False,none,100,glove.6B.100d.txt,2,0.71,50.0,49.62
Adam,0.001,0.9,0.0001,64,100,10,RNN,RNN,3,False,True,True,True,last_hidden,64,2,False,none,100,glove.6B.100d.txt,3,0.7,49.62,49.62
Adam,0.001,0.9,0.0001,64,100,10,RNN,RNN,3,False,True,True,True,last_hidden,64,2,False,none,100,glove.6B.100d.txt,4,0.7,50.84,49.62
Adam,0.001,0.9,0.0001,64,100,10,RNN,RNN,3,False,True,True,True,last_hidden,64,2,False,none,100,glove.6B.100d.txt,5,0.7,50.0,49.62
Adam,0.001,0.9,0.0001,64,100,10,RNN,RNN,3,False,True,True,True,last_hidden,64,2,False,none,100,glove.6B.100d.txt,6,0.7,50.28,49.62
Adam,0.001,0.9,0.0001,64,100,10,RNN,RNN,3,False,True,True,True,last_hidden,64,2,False,none,100,glove.6B.100d.txt,7,0.7,49.81,49.62
Adam,0.001,0.9,0.0001,64,100,10,RNN,RNN,3,False,True,True,True,last_hidden,64,2,False,none,100,glove.6B.100d.txt,8,0.7,50.66,49.62
Adam,0.001,0.9,0.0001,64,100,10,RNN,RNN,3,False,True,True,True,last_hidden,64,2,False,none,100,glove.6B.100d.txt,9,0.7,50.75,49.62
Adam,0.001,0.9,0.0001,64,100,10,RNN,RNN,3,False,True,True,True,last_hidden,64,2,False,none,100,glove.6B.100d.txt,10,0.7,50.94,49.62
Adam,0.001,0.9,0.0001,64,100,10,RNN,RNN,3,False,True,True,True,last_hidden,64,2,False,none,100,glove.6B.100d.txt,11,0.7,50.84,49.62
Adam,0.001,0.9,0.0001,64,100,10,RNN,RNN,3,False,True,True,True,last_hidden,64,2,False,none,100,glove.6B.100d.txt,12,0.7,50.75,49.62
Adam,0.001,0.9,0.0001,64,100,10,RNN,RNN,3,False,True,True,True,last_hidden,64,2,False,none,100,glove.6B.100d.txt,13,0.7,50.75,49.62
Adam,0.001,0.9,0.0001,64,100,10,RNN,RNN,3,False,True,True,True,last_hidden,64,2,False,none,100,glove.6B.100d.txt,14,0.7,50.84,49.62
Adam,0.001,0.9,0.0001,64,100,10,RNN,RNN,3,False,True,True,True,last_hidden,64,2,False,none,100,glove.6B.100d.txt,15,0.7,50.56,49.62
Adam,0.001,0.9,0.0001,64,100,10,RNN,RNN,3,False,True,True,True,last_hidden,64,2,False,none,100,glove.6B.100d.txt,16,0.7,50.47,49.62
Adam,0.001,0.9,0.0001,64,100,10,RNN,RNN,3,False,True,True,True,last_hidden,64,2,False,none,100,glove.6B.100d.txt,17,0.7,50.47,49.62
Adam,0.001,0.9,0.0001,64,100,10,RNN,RNN,3,False,True,True,True,last_hidden,64,2,False,none,100,glove.6B.100d.txt,18,0.7,50.38,49.62
Adam,0.001,0.9,0.0001,64,100,10,RNN,RNN,3,False,True,True,True,last_hidden,64,2,False,none,100,glove.6B.100d.txt,19,0.7,50.66,49.62
Adam,0.001,0.9,0.0001,64,100,10,RNN,RNN,3,False,True,True,True,last_hidden,64,2,False,none,100,glove.6B.100d.txt,20,0.7,50.84,49.62
Adam,0.001,0.9,0.0001,64,100,10,RNN,RNN,3,False,True,True,True,last_hidden,128,2,False,none,100,glove.6B.100d.txt,1,0.73,49.72,49.53
Adam,0.001,0.9,0.0001,64,100,10,RNN,RNN,3,False,True,True,True,last_hidden,128,2,False,none,100,glove.6B.100d.txt,2,0.71,49.91,49.53
